run_id,model,domain,task_type,difficulty,n,n_samples,n_needs_review,n_excluded_from_main,n_samples_unscored,n_items_unscored,mean_score,mean_score_incl_review,small_cell,ci_method,ci_low,ci_high,t2_judgment_accuracy,t2_verdict_ci_low,t2_verdict_ci_high,t4_pass_at_1,diagnostic_functional_threshold_rate,t4_performance_pass_rate,judge_mean_score_range,paper_eligible
midtier-20260828-v1,GLM-4-32B,D1,T2,Basic,5,5,0,0,0,0,0.375,0.375,False,item-cluster bootstrap B=20000 seed=20260805,0.05,0.7,1.0,0.5655175352168389,1.0,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D1,T2,Expert,3,3,0,0,0,0,0.16666666666666666,0.16666666666666666,True,"none (descriptive, n<5)",,,1.0,0.43850296824496815,1.0,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D1,T2,Intermediate,9,9,0,0,0,0,0.4861111111111111,0.4861111111111111,False,item-cluster bootstrap B=20000 seed=20260805,0.4166666666666667,0.5555555555555556,1.0,0.7008549515804674,1.0,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D1,T3,Basic,1,1,0,0,0,0,0.3333333333333333,0.3333333333333333,True,none (n<2),,,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D1,T3,Expert,8,8,0,0,0,0,0.5125000000000001,0.5125000000000001,False,item-cluster bootstrap B=20000 seed=20260805,0.36666666666666664,0.6625,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D1,T3,Intermediate,6,6,0,0,0,0,0.6013888888888889,0.6013888888888889,False,item-cluster bootstrap B=20000 seed=20260805,0.4166666666666667,0.748611111111111,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D1,T4,Basic,2,2,1,0,0,0,0.5,0.5,True,wilson,0.09453120573423462,0.9054687942657653,,,,0.5,0.5,0.5,,True
midtier-20260828-v1,GLM-4-32B,D1,T4,Expert,3,3,0,0,0,0,0.6666666666666666,0.6666666666666666,True,wilson,0.2076596008020547,0.9385080552796013,,,,0.6666666666666666,1.0,1.0,,True
midtier-20260828-v1,GLM-4-32B,D1,T4,Intermediate,1,1,1,0,0,0,0.0,0.0,True,none (n<2),,,,,,0.0,0.0,0.0,,True
midtier-20260828-v1,GLM-4-32B,D2,T1,Basic,13,13,0,0,0,0,0.6923076923076923,0.6923076923076923,False,wilson,0.4236934318054971,0.8731929634428918,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D2,T1,Expert,6,6,0,0,0,0,0.8333333333333334,0.8333333333333334,False,wilson,0.43649717781353975,0.9699466302516921,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D2,T1,Intermediate,11,11,0,0,0,0,0.6363636363636364,0.6363636363636364,False,wilson,0.35380117450785553,0.8483352890463207,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D2,T2,Basic,4,4,0,0,0,0,0.4375,0.4375,True,"none (descriptive, n<5)",,,1.0,0.5101091635454165,1.0,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D2,T2,Intermediate,4,4,0,0,0,0,0.4375,0.4375,True,"none (descriptive, n<5)",,,1.0,0.5101091635454165,1.0,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D2,T3,Expert,5,5,0,0,0,0,0.64,0.64,False,item-cluster bootstrap B=20000 seed=20260805,0.41999999999999993,0.8200000000000001,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D2,T3,Intermediate,3,3,0,0,0,0,0.7333333333333333,0.7333333333333333,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
midtier-20260828-v1,GLM-4-32B,D2,T4,Basic,1,1,0,0,0,0,0.0,0.0,True,none (n<2),,,,,,0.0,0.0,1.0,,True
midtier-20260828-v1,GLM-4-32B,D2,T4,Intermediate,3,3,0,0,0,0,0.6666666666666666,0.6666666666666666,True,wilson,0.2076596008020547,0.9385080552796013,,,,0.6666666666666666,0.6666666666666666,1.0,,True
midtier-20260828-v1,GLM-4-32B,D3,T1,Basic,14,14,0,0,0,0,0.8571428571428571,0.8571428571428571,False,wilson,0.6005862050303044,0.9599060787285338,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D3,T1,Expert,9,9,0,0,0,0,1.0,1.0,False,wilson,0.7008549515804674,1.0,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D3,T1,Intermediate,21,21,0,0,0,0,0.8571428571428571,0.8571428571428571,False,wilson,0.653639397193797,0.950189875002746,,,,,,,,True
